i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70314/13,2016-17,Volta,,8,19,,,,,,1.5,1,,,,,,,4,6,,,,5,,,5,10,,,,13,,,,,,,,,50,,6,,5,,,,12,,,5,,,,,,,,,,,,,,,,,,10,,3,,,,,1,,,,,,5,,28.5,,,,,,,,,,2,,,,,,,,1,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/14,2016-17,Volta,,30,20,6,6,,2,,2,4,8.4,,,15,10.5,35,2,8,2,,,7,,2,60,20,1,4,9,15,16,,20,12,,,,,30,,4,,10,,3,,5,,,10.5,,6,50,3,10,6,15.4,,,,16,2,,,,,9,14,,,,,,,,,,,2,45,,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/15,2016-17,Volta,,11,13,,,,,,1.9,1,,15,0.5,5,,3,6,5.8,,,,4.6,,2,19,20,,,,11,1.8,,8,,7,,,14,18,1,4,,21,,,,13,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/01,2016-17,Volta,,20,19,9,,,6,,0.5,1.5,,,,17,30,,14,4,1,,,,,19,2,62,,,,12,9.4,8,5,,11,,,2,6,,,,26,,,,19,,9,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,11,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/02,2016-17,Volta,,,1,,,,,,,0.5,,,,2,,,,0.5,,,,,,,,,0.5,,6,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,10,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/03,2016-17,Volta,,16,11,13,21.5,16,1,,5,3,1.2,10,3,25,,,7,11,2,,,4,,4,90,,3,5.2,35,24,9.7,1,,46,,2,,,90,3,0.5,,2,,,,,,,,,,,,24,9,46.4,40,40,,12,,,,,,6,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/04,2016-17,Volta,,3,10,,,,,,2.9,2.5,5.4,,0.5,19,,18.5,7.5,14,,,,3,,,17.5,6,,1.5,6,20,3.9,17,,,7,,,18,35,1,,,,,,,3,,,,,,,,,,,8,,,,,,,,,,9,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/05,2016-17,Volta,,2,5,3,,,2,,1,1.5,2.8,,0.5,14,,2,10,1,,,,3.5,,1,12.9,6,5,3.7,24,10,8,,,2,6,,17.5,,14,0.5,5,,2,,,,1,,,5,,,,,,,,,,7,,,,,,,,,,10,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/06,2016-17,Volta,,,13,8,,,1,,6.5,4,6.2,,0.5,37,,,15,7,4,,,2,1,,415,,2,1.5,13,8,2.3,,,,7,1.4,,,90,4,2,,,,,,,,,16.5,,,,,,,,,80,,,,5.5,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,13.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/07,2016-17,Volta,,5,17,5,7.5,,1,,4,3,32.2,30,2.5,,,,4.5,12,6,,,3,,5,37,30,3,14,5,15,19,4,7,35,14,,15,15,5,4,32,,,,,,,,,16,,12,,,20,20,,,15,,6.5,,2,15,,,,,,,,,20,20,,,,,,,6,15,,,,2,,,,,,,30,,,,,,,,,,,,,,,,10,,,,,,,,,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/08,2016-17,Volta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/09,2016-17,Volta,,3,1,2,12,,3,,0.5,3,7.2,5,,10,,,6.5,6,6,,,1.5,,2,,5,0.5,2,16,7,,303,10,,,,,10,20,,,,2,,,,,,,,,,,,,8,,20,,,,,0.5,,,,,,2.5,17,8,1.5,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,1,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/10,2016-17,Volta,,15,5,,17,,,,2,2,,,2,,,,2,4,1,,,4,,,,,,,13,12,,,,,,,,6,40,2,15,,5,,,,,,,4.5,6,,,,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,4.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/11,2016-17,Volta,,20,18,5,,,7,,3,9,,,3,20,,,9,27,2,,,5.5,,26,25,,1,2,41,23,11.5,7.5,30,,19.5,,,,29,3,13,,4,,,,26,,,,37.5,,,5,2,,47.5,,,,30.4,,0.5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,38,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/12,2016-17,Volta,,4,5,5,,,4,,3,4.5,6,,1.5,45,,7.5,6,9,2,,,4,,4,25,,1,2,15,15,6.2,,30,6,7.5,,,3,80,2,10,,6,,,,,,,7,,,,,,3,,,10,,,,,,10,,,57,,7,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/13,2016-17,Volta,,1,,,,,,,0.5,2.5,,,,2,,,0.5,,,,,1,,,,,,,2,3,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/14,2016-17,Volta,,,6,10,,,,,6.5,3,16,,2,30,,,3,7,,,,2,,2,35,10,,2,18,10,14,5,20,,7,,,5,30,2,15,,6,,,,,,,4,9,,,5,,3,,,15,,,,3,,,,,,,5,,,,,,,,,4,,4.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,10,,,10,,,,,,20,,30,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315/15,2016-17,Volta,,,85,3,,,3,,2,4,32,,1,20,,7,3,16,7,,,4,,2,35,20,1,,,19,4.3,5,25,,,,,,50,1,,,,,,,12,,,8.7,,,,,3,10,,20,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,2,,,,,,,,,,,20,,,,1.5,,,,,30,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/01,2016-17,Volta,,11,20,2,20,,,,6,5,2.5,20,2,17,10,15,11,8,2,,,5,,12,187,18,1,10,17,30,19.5,,22,10,14,,,,,1,10,,,3,7,,19,,,8,20,,,,,7,,20,,,,,2,10,,,,20,,20,,11,,,,,,,11,,10,,30.5,,,,4.5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/02,2016-17,Volta,,21,,,,,,,2,4,,20,2,25,,,4,5,,,,1,,,,12,,3,,18,15,8,10,,,,,30,58,2,,,,,,,,,,15,,,70,,,,,20,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4.6,,,,10,,,,,,,,10,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/03,2016-17,Volta,,,2,,,,,,,0.5,,50,,30,13,,1,,,,,1,,,5,,,7,6,11,,,,,,,,,,,,,2,,,,8,,,,,,,,,,2,,,,,,,,,,,10,,15,,,,,,,,,,,3,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/04,2016-17,Volta,,5,5,7,3,,,,4,3,14.4,35,1,32,,14.5,5,9.5,,,,6,,2,48,15,2,8.5,20,18,15,,50,,4,2,,,20,1.5,,,8,,,3,20,,,4,,,,,,,,,,,,,4,,,,,70,10,,,4,6,,,,,,,,,,20,,,,,,,2,,,,,,,,,,,3,3,,,,,,,5,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/05,2016-17,Volta,,3,18,32,1.6,3,2,,2,5,4.5,30,50,40,,24.5,7,11,2,,,4,,32,35,25,,4,15.5,16,7.5,,30,,,,,10,20,1,6,,12,,,,15,,,,15,,,,,,5.2,50,,,,3,1,,,,,20,,15,,5,15,,,,,,,,6,,10,,,,,,,,,,,15,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,
70316/06,2016-17,Volta,,30,8,8,,,2,,6,8,13.3,20,4,40,,11,4,6,8,,,5,,13,,20,4,8,35,13,24,56,62,4,6,,,,50,6,,,,,,,32,,,,,,40,,,2,2.6,,30,,,,3,,,,15,20,,,,,,,,,,,2,,,,7,,13,,,,,,,,,5,,,90,,,,1,,,,,,,,10,,,,,,,,,,,,5,,1,4,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
70316/07,2016-17,Volta,,,,,,,1,,1,,,,,,,,,1,,,,,,5,40,10,0.7,,2,4,,6,14,5,,,,,,,,,,,21,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/10,2016-17,Volta,,21,21,7,,,6,,,5,32,20,,20,,7,5,7,5,,,4,,13,66,,,,8,13,8,9,40,3.6,5,2,,5,,,4,,17,3,,10,,,,6,10,,45,,,3,13.8,10,30,,,,4,,,,,20,,,,8,,,,,,,,,,,7,,6,,,,,29.6,,,,25,,,,,,,,20,,,,,,,,,,,,,,,,10,15,,5,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/11,2016-17,Volta,,18,10,8,,,4,,2,5.5,23.8,30,3,5,,,6.5,8,1,,,4,,8,35,5,,,2,21,8.5,6,10,,,2,,2,20,2.5,,,17,3,,,21,,,3,,,,,,2,15.6,10,25,,,,4.5,,,,,10,,,,,,,,,,,,,,,7,,,,,,,2.3,,,,,,,,,,,,8,,,,,,,30,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/12,2016-17,Volta,,5,,,,,,,,,45,15,,,,8,,10,1,,,3,,,33,15,2.5,,7,22,7,3,,3.5,,,,,,,,,,3,,,,,,,15,,,,2,2,,,,,34,,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/13,2016-17,Volta,,4,12,,,,2,,3,6,3,,2,55,,10,5.5,4,,,,3.5,,,,25,0.5,7,11,13,13.8,,10,,5,,,,,,,,2,,,5,15,,,7,,,,,,,,,,10,,,8,,,,,,,10,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70316/14,2016-17,Volta,,3,11,,,,2,,3,8,15,80,1,50,2.5,,15,2,,,,6,,,,25,,3,36,24,20,,80,5,16,,,,,2,,,,,,,14,,,4.5,,,,,,,14.2,,,,,,17,,,,,,,5,,1,26,,,,,,,,,,14,,,,,,,,,,,,,,12,,,,1,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
70316/15,2016-17,Volta,,8,1,,,,2,,,,8,,,,,,,7,3,,,,,,35,,,2.5,2.5,5,,27.2,10,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/01,2016-17,Volta,,21,7,,24,,,,2,8,5,110,0.5,20,11,18,7,4,,,,4.5,,,30,10,,2,5,28,,6,40,,5,,,,,0.5,9,,7,,,,6,,,6,,,,5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/02,2016-17,Volta,,28,18,,12,,,,4,5,15,45,,13,,10,8,5,2,,,4,,,66,15,,1,,24,5,,35,,8,,,,,1,2,,6,,,,14,,,,,,30,,,,15,,,,,,,,,,20,,,,,4,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/03,2016-17,Volta,,40,8,9,8,,5,,3.5,5,29,90,,,,18,5,8,,,,4,,4,60,20,,,,37,,17.5,100,,,,,,,,4,,9,,,,37.5,,,3,,,45,,2,,22.4,,,,20,,,,,,,,,,,10,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
70317/04,2016-17,Volta,,16,4,,16,,3,,1,9,,45,,40,,10,8,9.5,10,,,6,9,,60,14,,3,11,37,,10,30,,8,,,,,1,,,8,,,,13.5,,,3,,,20,,,16,26,,10,,20,,,,,,4,,,5,,2,,,,,,,5,,3,,6,,,2,,,,,,,,,1.5,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/05,2016-17,Volta,,16,5,10,,,4,,,8,,80,4,10,,,9,9,7,75,,1,,13,,17,5,27.5,,35,,11,4,2.8,,,,,,,2,,2,,,,6,,,5,,,20,4,,11,21,,,,6,,,,,,,,,,,9,,,,,,,6,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,5,,6,,,,4,,,,,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
70317/06,2016-17,Volta,,15,7,7,,,,,1,1,16.5,28,,10,9,6,,6,8,,,1,,14,,22,,2,7,15,3.5,20,42,8.3,8,,,,,2,4,2,,,,,,,,3,,,20,,,22.5,12.5,26,,,3,,,,,4,,,2.5,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/07,2016-17,Volta,,25,18,20,,,1,,5,8,,70,,35,5,,6,9,,,,3,3,21,46,,,8,,28,,6,5,,,,,,,,,,24,12.5,,,16,,,4,10,,,,,12,5,,30,,,,,,,,,,,,,4,,,,,,,3,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/08,2016-17,Volta,,7,7,15,,,,,1,5,4,12,,20,3,11,6,8,3,,,3,,8,42,18,1.5,8,6,17,1.8,,,6,,,,5,,,4,,7,,,,2,,,3,,,,,,3,,,,,,,0.5,2,,,,7,,4,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
70317/09,2016-17,Volta,,23,6.5,15,1,,2,,,9,15,50,,10,2.8,10,6,2,,5,,6,,13,96,20,,6,4,33,5.5,,18,,7,,,,,,8,,16.5,,,,14,,,3,,,30,10,,,24.5,,12,,,,,,,,,16,,,,,,,,,,,4,,,,6,1.8,,2,,20,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/10,2016-17,Volta,,24,6,8,8,,,,,3,21,45,,30,12,,1,5,10,,,6,,3,66,20,,4,8,18,,,,5,,,,,,1,,,10,,,,10,,,,,,,,,4,5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/11,2016-17,Volta,,18,7,8,12,,,,4,4.5,10,25,,20,2.8,,2,3.5,3,,,3.5,,10,2,,,3.5,,15,1.8,,,,,,,,,0.5,9,,12,,,,15,,,3,,,,,,1,,,,,,,,,,,,,,2,,4,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70317/12,2016-17,Volta,,12,6,5,5,,,,,4,,10,,20,2,2,5,4,,,,2,,2,36,30,,1.5,8,11,,,,,,,,5,15,,8,,7,,,,5,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
70317/13,2016-17,Volta,,23,29,2,18,,,,3,2,7,20,2,15,0.6,1,2,5,2,,,5,,1,20,30,,,,15,5,,20,,8,,,,,3,13,,,,,,22,,,15,,,40,,,2,7,,15,,,,,,,,,,,27,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
70317/14,2016-17,Volta,,8,5,7,6,,,,1.5,3.5,2.7,23,,,10.2,,8,5,4,,,4,,3,22,20,,1.5,8,18,,,5,4,8,,,3,,0.5,10,,16,,,,5,,,3,,,,,,7,,,,,,,,,,,,,6.5,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
70317/15,2016-17,Volta,,39,6.5,21,5,,,,,6,44.4,65,,30,,,8,5,8,,,5,3,8,94,50,,2,4,28,5,25,,5,5,,,,,,2,,12.5,,,,15,,,8,20,,40,9,,6,17.5,,40,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/01,2016-17,Volta,,4,13,2,7,,2,,2,,,,2.5,8,12,14.5,18.5,7,2.5,,,4.5,,9,35,20,1.5,4,3,13,9,1,46,,4,,,2,35,9.5,2,,5,4,,,29,,,,,,20,,2,2,,10,10,,,,0.5,2,,2,,10,2.5,,,,,,,,,,,,9,,76,3,,,,,,,,,,,1,,,,,,1,,4,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/02,2016-17,Volta,2.5,3,1,2,8,,1,,,2,,,1,10,,10.5,1.5,,4,,,1.7,,4,,5,1,3,8,5,5.4,,10,26,,,,2,10,1,,,1,6,,,3,,,,,,,,,6,,,30,,,16,,5,,,,,2.2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/03,2016-17,Volta,,18.5,,5,2.7,,,,2,,4,,2,,,2,4.5,7,,,,2,,5,40,22,0.5,2,9,2,10.2,0.2,,1,1,,,,,2,8,,,,,,6,,,8,,,10,,,,10,37,35,,,,,,,,,,3,,,,30,,,,,,,,5,,3.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/04,2016-17,Volta,,19,18,14,11,,,,2.5,6,10,,,9,1,2,8.5,5,,,,3,,8,65,33,,4,31,24,2,7,,,7,,,14,9,2,,,17,,,,11,,,4,,,,2,,,6,6,10,,,,1,5,,3,,10,5,,,,6,,,,,,,,5,1,16,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/05,2016-17,Volta,,5,19,,,,2,,3,4,2,,3.5,2,3.6,3,9,3,2,,,6,,,20,20,1,,5,9,2.8,18,10,,4,,,6,,2.5,,,8,,12,,10,,,,1,,,,,2,13.2,,10,,9,,,,,,10,5,,,,,,,,,,,,,7,,6,,,,8,,,4.2,,,,,,,,,,,1,,1,,,,,,5,,,,,,,,,,,,,,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/06,2016-17,Volta,2,,2,2,3,,1,1,2,,27,,1.7,,3.2,,,14,3,,,5,8,1,110,15,,,9,8,14.2,6,,118.7,,1.4,,,,2,4.5,,,3,,,2,,,,,,5,9,5,4,,8,8,,137.3,,,,,1.5,,40,4.8,2,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,11,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,
70318/07,2016-17,Volta,,10,7,3,,1,2,,0.5,7,,,,14,2.2,,9,3,3,,,5,10,7,10.5,32,1,1,,7,2,1,15,,,,,,24,1,,,,,,,8,,,10.5,,,35,,,6,,,10,,,,1,,,,,,,5,,,,,,,,,,,,,8.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/08,2016-17,Volta,,10,45,,75,,,,5,,52,,5,12,,16,4,,2,,,3,5,10,240,60,5,,20,10,,68,,,6,,,,40,3,5,,35,55,20,,,,,,,,130,29,,35,20,,20,,18,,,,,,,20,,5,,,,,,,,,10,,,,,,,6,5,,,8.6,,,,,,,,,,,,,,,310,,,25,,,,,,,,,5,50,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/09,2016-17,Volta,,4,20,10,2,,,,,5,,,1,28,1,,10,6,,,,7,,,,23,8,1,2,18,0.7,,,,,,,,13,1.5,,,18,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/10,2016-17,Volta,,7,23,,31,2,2,,0.5,5,,,0.5,15,,,8,3,,,,4.5,,,2,33,,,18,8,,3,5,,1,,,,10,0.5,,,9,,,,4,,,,,,,,,1,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/11,2016-17,Volta,,56,29,5,,3,4,,2,2,2,,,12,2.2,13,9,9,3,,,5,,5,147,20,,2,14,16,2.8,18,,,5,,,2,,1,,,7,,15,,10,,,,,3.6,,,,4,6,,,10,8,,,,,,5,10,,8,,,,,,,,,,,3,,,,,,10,,,,,,,,,,,,,,,,,3,15,,,,5,,,,,,,,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/12,2016-17,Volta,,,13,17,,,,,5,1,,,,7,,9,2,9,,,,5,,4,43.5,20,2,4,,21,1.5,,,,8,,,,10,,12,,15,,,,12,,,7,,,,,,,,6,13,,,,,,,,,5,,,,,,,,,,,,,4,,35,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/13,2016-17,Volta,,2.5,3,4,,,1,,0.5,,1,,,6,,4,,2,1,,,0.5,,,2.5,8,,2,,2,1.5,0.6,5,,7,,,1,6,0.5,1,,,,,,,,,3,0.7,,,,,1.5,,,,,,,,2,,,,,,,,,,,,,,,,,7,,14,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70318/14,2016-17,Volta,,8,5,,11,,,,,,6,,,2,,,2,3,,10,,,,4,,5,,3,8,4,,6,10,,,,,,,,,,,,,,14,,,,,,10,11,,,4,,10,,34,,,,,15,,,,,,,,,,,,,,,,9.4,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
70318/15,2016-17,Volta,,2,9,,,,5,,2,8,,,,20,,39.5,10.5,6,,,,3,,,12,35,,,,12,10.5,,12,,,,,5,25,,,,2,,,,20.5,,,,,,7,,,,,,,6.5,,,,,,,,29.5,,,,4,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
