i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
30068,2010,Nigeria,0,0,0,1,1,1,0,0,0,0,0,2,1,0
30069,2010,Nigeria,1,2,0,0,1,0,0,0,0,0,0,1,0,0
30070,2010,Nigeria,0,0,0,0,2,1,1,0,0,0,1,1,0,1
30071,2010,Nigeria,0,0,1,0,1,1,0,0,1,0,1,0,1,0
30072,2010,Nigeria,0,1,1,0,1,0,1,1,0,0,1,2,1,0
30075,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,1,0,0
30076,2010,Nigeria,1,0,0,0,0,1,0,1,0,0,0,1,0,0
30077,2010,Nigeria,0,1,1,0,0,1,0,2,0,0,1,0,1,0
30078,2010,Nigeria,0,1,0,1,0,1,0,0,0,2,0,0,1,0
30079,2010,Nigeria,0,0,1,1,0,1,0,0,0,0,1,0,1,0
30080,2010,Nigeria,0,0,0,0,1,3,1,0,0,0,0,0,2,2
30081,2010,Nigeria,1,0,0,0,0,1,0,1,1,1,0,1,0,0
30082,2010,Nigeria,1,0,0,0,0,1,0,0,0,0,0,0,1,0
30083,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30084,2010,Nigeria,1,1,2,2,0,0,1,0,0,0,0,2,0,0
30085,2010,Nigeria,1,0,0,0,0,1,0,1,0,0,0,0,1,0
30086,2010,Nigeria,0,1,1,0,1,0,0,0,1,0,0,1,0,0
30087,2010,Nigeria,0,0,1,1,0,0,1,0,0,1,0,0,1,0
30088,2010,Nigeria,1,1,1,0,0,1,0,1,1,0,0,0,1,0
30089,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30090,2010,Nigeria,0,0,0,0,2,0,1,0,0,1,1,0,1,0
30091,2010,Nigeria,2,1,0,0,0,1,0,0,1,0,0,0,1,0
30092,2010,Nigeria,1,1,0,0,1,1,0,1,0,0,0,2,0,0
30094,2010,Nigeria,0,0,0,0,1,0,0,0,0,2,0,1,0,1
30095,2010,Nigeria,1,0,0,0,1,0,0,0,0,0,0,1,0,0
30096,2010,Nigeria,0,0,1,0,0,1,0,1,0,2,0,0,1,0
30097,2010,Nigeria,0,0,0,1,1,0,1,0,0,0,0,0,1,0
30099,2010,Nigeria,0,1,0,0,0,1,0,0,0,0,0,0,1,1
30100,2010,Nigeria,0,2,4,0,0,1,0,1,0,0,0,0,1,0
30101,2010,Nigeria,0,0,0,0,2,0,1,0,0,0,0,0,0,1
30102,2010,Nigeria,1,0,0,0,0,1,0,1,0,0,0,1,0,0
30103,2010,Nigeria,0,1,0,1,0,1,0,0,1,1,0,1,1,0
30104,2010,Nigeria,0,0,1,1,0,1,0,0,3,2,0,0,1,0
30105,2010,Nigeria,0,0,0,0,1,0,0,1,0,0,0,1,0,0
30106,2010,Nigeria,1,0,0,0,0,1,0,0,1,0,0,0,1,0
